COMMITTER,AVG_DURATION,AVG_LINES_ADDED,AVG_LINES_REMOVED,COUNT_REFACTS,COUNT_SOLVED,FILES_CHANGED,FIXED_ISSUES,INDUCED_ISSUES,COMMIT_HASH,PROJECT_ID
Jeff Turner,0.0,9.034810126582277,4.261603375527426,0.02531645569620253,0.0,1.4050632911392404,0.0,0.0,79,6
Jeffrey Brekke,0.0,19.61985294745558,4.577562384389969,0.23863636363636365,0.0,5.761363636363637,0.0,0.09090909090909091,88,1
Jeremias Maerki,0.0,12.489660128900637,6.284763759447304,0.05063291139240506,0.0,1.9367088607594938,0.0,0.0,79,2
Jeremy Quinn,0.0,11.605343465370744,3.8805723149336755,0.06,0.0,3.48,0.0,0.0,50,1
Jeroen Reijn,0.0,8.7,2.7333333333333334,0.0,0.0,1.4,0.0,0.0,10,1
Jesse McConnell,0.0,17.2587217630854,4.4061235733963,0.0,0.0,3.709090909090909,0.0,0.0,55,1
Jianyong Dai,0.0,7.981896890987801,3.7371080939262766,0.0,0.0,4.363636363636363,0.0,0.0,22,1
Jim Jagielski,0.0,14.0,3.125,0.0,0.0,1.75,0.0,0.0,4,1
Jitendra Nath Pandey,0.0,17.523575142805917,4.665058979482056,0.0,0.0,8.0,0.0,0.0,26,1
Joakim Erdfelt,0.0,16.956353175851447,2.441131557792457,0.0,0.0,12.117647058823529,0.0,0.0,51,1
Jochen Wiedmann,0.0,9.71308423215203,3.3559866216645875,0.3305084745762712,0.0,2.788135593220339,0.0,0.4406779661016949,118,4
Jochen Wiedmann (jwi),0.0,14.808333333333332,1.8666666666666667,0.0,0.0,2.5,0.0,0.0,10,2
Joerg Heinick,0.0,7.82820913974588,5.5438675652444225,0.15855354659248957,0.0,2.890125173852573,0.0,0.0,719,1
Joerg Schaible,0.0,11.651047619047617,3.692936507936507,0.48,0.0,2.44,0.0,0.0,75,7
Johan Oskarsson,0.0,3.1833333333333327,3.3666666666666663,0.0,0.0,3.6,0.0,0.0,5,1
John Dennis Casey,0.0,27.0,2.0,0.0,0.0,1.0,0.0,0.0,1,1
John Keyes,0.0,18.351853629462326,5.4568348525180825,0.7142857142857143,0.0,3.0095238095238095,0.0,0.0,105,1
John McNally,0.0,16.478571428571428,6.435507246376811,0.4782608695652174,0.0,2.608695652173913,0.0,0.0,23,2
John Morrison,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,1,1
John Sichi,0.0,12.327026231454138,3.349601448426757,0.0,0.0,14.758426966292134,0.0,0.0,178,1
Jonathan Moore,0.0,21.62208853238265,5.017592592592592,0.5,0.0,2.7941176470588234,0.0,0.0,102,1
Jorg Heymans,0.0,8.284314473186079,4.368128842827413,0.022026431718061675,0.0,11.71806167400881,0.0,0.0,227,1
Josh Elser,0.0,4.888461538461538,1.926923076923077,0.07692307692307693,0.0,2.923076923076923,0.0,0.0,13,1
Josias Thony,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
Joydeep Sensarma,0.0,10.441238717709307,3.3023342670401497,0.0,0.0,5.529411764705882,0.0,0.0,17,1
Jukka Zitting,0.0,18.32179487179487,3.0,0.0,0.0,2.6923076923076925,0.0,0.0,13,1
Julian Sedding,0.0,14.116666666666665,10.285714285714286,0.5714285714285714,0.0,2.7142857142857144,0.0,0.0,7,1
Julius Davies,0.0,15.013888888888891,5.298611111111111,0.08333333333333333,0.0,1.8333333333333333,0.0,0.0,12,1
Karl Lehenbauer,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
Karl Pauls,0.0,7.4999925321145255,3.7161430610690234,0.07697893972403776,0.0,2.383442265795207,0.0,0.0,1377,1
Karl Wright,0.0,11.695833333333331,5.083333333333333,0.15,0.0,2.35,0.0,0.0,20,1
Ken Gilmer,0.0,7.829400904216265,4.145730444882089,0.22123893805309736,0.0,2.398230088495575,0.0,0.0,113,1
Kenney Westerhof,0.0,3.0,1.25,0.0,0.0,1.5,0.0,0.0,2,1
"Kevin Joseph Menard, Jr",0.0,12.355555555555556,0.26666666666666666,0.0,0.0,7.0,0.0,0.0,2,1
Kevin Wilfong,0.0,17.644133306278874,3.0196599718916053,0.0,0.0,11.464285714285714,0.0,0.0,84,1
Konstantin Piroumian,0.0,7.729166666666666,3.444444444444444,0.125,0.0,3.0,0.0,0.0,8,1
Kristian Rosenvold,0.0,10.052796659008877,3.4437209457569615,0.6447368421052632,0.0,3.6447368421052633,0.0,0.05263157894736842,76,1
Kristopher J. Nuttycombe,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,2,2
Lars Trieloff,0.0,15.792791005291008,2.1230158730158726,0.16666666666666666,0.0,3.5,0.0,0.0,18,1
Leandro Nunes,0.0,0.3333333333333333,5.0,0.0,0.0,3.0,0.0,0.0,1,1
Leo Sutic,0.0,11.0,10.0,0.0,0.0,1.0,0.0,0.0,1,1
Leszek Gawron,0.0,7.6371832839517175,4.283142373208732,0.18181818181818182,0.0,3.6985645933014353,0.0,0.0,209,1
Luc Maisonobe,0.0,40.07440476190476,12.492424242424242,0.0,0.0,6.25,0.0,0.0,4,1
Luca Morandini,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
Luis Bernardo,0.0,6.93850038052833,2.624290024130749,14.666666666666666,0.0,45.05555555555556,0.0,0.0,18,1
Lukasz Lenart,0.0,9.568740399385561,2.9,0.0,0.0,20.0,0.0,0.0,12,1
Mahadev Konar,0.0,11.415204758237556,3.1143085615723956,0.9325513196480938,0.0,6.067448680351906,0.0,0.0,341,1
Manuel L. Santillan,0.0,23.774673202614377,4.159803921568628,0.0,0.0,7.764705882352941,0.0,0.0,17,1
Marc Giger,0.0,12.618166864552236,4.854890851176952,0.8765432098765432,0.0,9.641975308641975,0.0,0.0,81,1
